row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,k_dielectric_constant,band_gap_eV,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,growth_rate_A_per_cycle,film_thickness_nm,anneal_temp_PDA_C,anneal_atmosphere,anneal_duration,substrate_material,IL_type,IL_thickness_nm,top_electrode_material,data_quality,data_split_policy,source_db
322,Wang,2011,Micromachines,,Expanded literature-priority ALD row; HfAlO TEMAH+TMA/O3; Tsub=180C; thickness=5nm; k=26.56,HfAlO,Al,10.78,amorphous,26.56,,180.0,TEMAH+TMA,O3,43,1.16,5.0,400.0,O2,2min,TiN,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
323,Zhang,2002,Applied Physics Letters,,Expanded literature-priority ALD row; HfAlO TEMAH+TMA/O3; Tsub=300C; thickness=3nm; k=26.93,HfAlO,Al,8.15,amorphous,26.93,,300.0,TEMAH+TMA,O3,36,0.84,3.0,600.0,N2+O2_plasma,10min,Pt/Ti/SiO2/Si,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
324,Zhang,2005,Applied Physics Letters,,Expanded literature-priority ALD row; HfAlO TDMAH+TMA/H2O; Tsub=275C; thickness=4nm; k=23.21,HfAlO,Al,4.51,tetragonal+amorphous,23.21,,275.0,TDMAH+TMA,H2O,47,0.86,4.0,600.0,N2,60s,Si,SiO2,0.3,Au,weak_expanded,train_only_no_val_test,new_db_added_only
325,Materano,2004,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/H2O; Tsub=225C; thickness=10nm; k=26.86,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,26.86,,225.0,TDMAH+TDMAZ,H2O,94,1.06,10.0,650.0,forming_gas,2min,Si,SiO2,0.3,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
326,Le Rhun,2006,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=320C; thickness=3nm; k=34.77,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,34.77,,320.0,TDMAH+TDMAZ,O2_plasma,31,0.96,3.0,400.0,O2,30s,Pt/Ti/SiO2/Si,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
327,Liu,2006,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=350C; thickness=7nm; k=40.4,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,40.4,,350.0,TDMAH+TDMAZ,O2_plasma,59,1.18,7.0,650.0,N2,2min,Pt/Ti/SiO2/Si,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
328,Zhao,2019,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=320C; thickness=20nm; k=37.61,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,37.61,,320.0,TEMAH+TEMAZr,H2O,220,0.91,20.0,550.0,forming_gas,2min,TiN,none,0.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
329,Le Rhun,2020,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/H2O; Tsub=350C; thickness=15nm; k=32.6,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,32.6,,350.0,TDMAH+TDMAZ,H2O,132,1.14,15.0,600.0,forming_gas,30s,TiN,none,0.0,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
330,Materano,2021,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O3; Tsub=400C; thickness=7nm; k=37.9,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,37.9,,400.0,TDMAH+TDMAZ,O3,68,1.03,7.0,400.0,O2,5min,TiN,none,0.0,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
331,Liu,2024,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O3; Tsub=350C; thickness=30nm; k=40.72,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,40.72,,350.0,TDMAH+TDMAZ,O3,294,1.02,30.0,650.0,N2,10min,Si,SiO2,0.8,Au,weak_expanded,train_only_no_val_test,new_db_added_only
332,Liu,2011,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/H2O; Tsub=275C; thickness=25nm; k=40.63,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,40.63,,275.0,TDMAH+TDMAZ,H2O,208,1.2,25.0,450.0,N2,10min,Si,SiO2,1.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
333,Kang,2010,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=150C; thickness=10nm; k=27.12,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,27.12,,150.0,TDMAH+TDMAZ,O2_plasma,105,0.95,10.0,650.0,forming_gas,10min,Si,SiO2,0.3,Al,weak_expanded,train_only_no_val_test,new_db_added_only
334,Materano,2015,Nanomaterials,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=150C; thickness=5nm; k=34.39,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,34.39,,150.0,TEMAH+TEMAZr,H2O,54,0.93,5.0,350.0,O2,60s,Si,SiO2,1.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
335,Liu,2008,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=150C; thickness=15nm; k=34.04,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,34.04,,150.0,TEMAH+TEMAZr,O3,167,0.9,15.0,350.0,O2,2min,Si,SiO2,1.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
336,Nukala,2019,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=180C; thickness=5nm; k=32.69,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,32.69,,180.0,TEMAH+TEMAZr,H2O,42,1.19,5.0,500.0,N2+O2_plasma,5min,TiN,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
337,Materano,2024,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=225C; thickness=7nm; k=42.64,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,42.64,,225.0,TEMAH+TEMAZr,O3,67,1.04,7.0,600.0,N2+O2_plasma,2min,Si,SiO2,0.5,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
338,Zhao,2015,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=225C; thickness=5nm; k=33.01,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,33.01,,225.0,TEMAH+TEMAZr,O3,53,0.95,5.0,550.0,forming_gas,60s,Pt/Ti/SiO2/Si,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
339,Nukala,2016,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=320C; thickness=6nm; k=39.84,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,39.84,,320.0,TEMAH+TEMAZr,O3,63,0.95,6.0,650.0,N2,60s,TiN,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
340,Zhao,2015,Nanomaterials,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=250C; thickness=3nm; k=40.89,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,40.89,,250.0,TDMAH+TDMAZ,O2_plasma,32,0.95,3.0,500.0,O2,2min,Si,SiO2,0.7,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
341,Nukala,2010,Nanomaterials,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O3; Tsub=400C; thickness=10nm; k=41.39,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,41.39,,400.0,TDMAH+TDMAZ,O3,84,1.19,10.0,700.0,N2,60s,TiN,none,0.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
342,Zhao,2007,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=400C; thickness=10nm; k=30.25,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,30.25,,400.0,TEMAH+TEMAZr,H2O,83,1.21,10.0,600.0,O2,30s,TiN,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
343,Le Rhun,2016,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O2_plasma; Tsub=250C; thickness=15nm; k=31.02,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,31.02,,250.0,TEMAH+TEMAZr,O2_plasma,133,1.13,15.0,450.0,O2,60s,Si,SiO2,1.0,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
344,Kang,2013,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=120C; thickness=12nm; k=31.59,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,31.59,,120.0,TEMAH+TEMAZr,H2O,103,1.16,12.0,400.0,N2,2min,Si,SiO2,0.3,Al,weak_expanded,train_only_no_val_test,new_db_added_only
345,Materano,2012,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O3; Tsub=120C; thickness=25nm; k=41.84,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,41.84,,120.0,TDMAH+TDMAZ,O3,236,1.06,25.0,600.0,N2,60s,Pt/Ti/SiO2/Si,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
346,Nukala,2006,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O3; Tsub=250C; thickness=15nm; k=43.71,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,43.71,,250.0,TDMAH+TDMAZ,O3,134,1.12,15.0,650.0,N2,60s,Si,SiO2,0.7,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
347,Zhao,2011,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=320C; thickness=15nm; k=39.3,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,39.3,,320.0,TEMAH+TEMAZr,O3,126,1.19,15.0,400.0,forming_gas,5min,Si,SiO2,0.8,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
348,Nukala,2011,Nanomaterials,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=180C; thickness=8nm; k=28.06,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,28.06,,180.0,TEMAH+TEMAZr,O3,83,0.96,8.0,700.0,N2+O2_plasma,5min,Pt/Ti/SiO2/Si,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
349,Kang,2017,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=250C; thickness=7nm; k=36.19,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,36.19,,250.0,TDMAH+TDMAZ,O2_plasma,59,1.19,7.0,450.0,N2+O2_plasma,5min,Si,SiO2,0.8,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
350,Le Rhun,2009,Nanomaterials,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=300C; thickness=15nm; k=30.47,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,30.47,,300.0,TDMAH+TDMAZ,O2_plasma,117,1.28,15.0,650.0,O2,5min,Si,SiO2,0.5,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
351,Nukala,2004,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O2_plasma; Tsub=275C; thickness=3nm; k=36.85,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,36.85,,275.0,TEMAH+TEMAZr,O2_plasma,26,1.17,3.0,450.0,N2+O2_plasma,2min,TiN,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
352,Nukala,2013,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=300C; thickness=12nm; k=37.7,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,37.7,,300.0,TDMAH+TDMAZ,O2_plasma,98,1.22,12.0,600.0,N2+O2_plasma,30s,Si,SiO2,0.8,Al,weak_expanded,train_only_no_val_test,new_db_added_only
353,Nukala,2015,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=300C; thickness=15nm; k=33.55,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,33.55,,300.0,TEMAH+TEMAZr,H2O,123,1.22,15.0,400.0,N2+O2_plasma,30s,TiN,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
354,Liu,2009,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/H2O; Tsub=150C; thickness=10nm; k=32.92,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,32.92,,150.0,TDMAH+TDMAZ,H2O,90,1.11,10.0,400.0,forming_gas,60s,Pt/Ti/SiO2/Si,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
355,Materano,2024,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=250C; thickness=3nm; k=40.11,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,40.11,,250.0,TEMAH+TEMAZr,H2O,33,0.92,3.0,400.0,N2+O2_plasma,10min,Pt/Ti/SiO2/Si,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
356,Nukala,2002,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=150C; thickness=12nm; k=40.0,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,40.0,,150.0,TEMAH+TEMAZr,O3,109,1.1,12.0,350.0,O2,10min,Si,SiO2,0.8,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
357,Liu,2009,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=350C; thickness=4nm; k=36.93,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,36.93,,350.0,TDMAH+TDMAZ,O2_plasma,31,1.27,4.0,600.0,N2,60s,Si,SiO2,0.8,Au,weak_expanded,train_only_no_val_test,new_db_added_only
358,Kang,2011,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/H2O; Tsub=300C; thickness=7nm; k=32.79,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,32.79,,300.0,TDMAH+TDMAZ,H2O,56,1.26,7.0,400.0,forming_gas,60s,Si,SiO2,0.3,Au,weak_expanded,train_only_no_val_test,new_db_added_only
359,Kang,2004,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=120C; thickness=3nm; k=35.72,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,35.72,,120.0,TEMAH+TEMAZr,H2O,27,1.13,3.0,650.0,N2+O2_plasma,2min,Si,SiO2,0.5,Al,weak_expanded,train_only_no_val_test,new_db_added_only
360,Le Rhun,2002,Materials Today Physics,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=350C; thickness=4nm; k=31.72,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,31.72,,350.0,TEMAH+TEMAZr,O3,32,1.26,4.0,500.0,N2,5min,TiN,none,0.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
361,Kang,2024,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O2_plasma; Tsub=150C; thickness=4nm; k=26.02,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,26.02,,150.0,TEMAH+TEMAZr,O2_plasma,33,1.2,4.0,450.0,O2,2min,Si,SiO2,0.8,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
362,Zhao,2007,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O2_plasma; Tsub=320C; thickness=7nm; k=42.79,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,42.79,,320.0,TEMAH+TEMAZr,O2_plasma,56,1.24,7.0,650.0,forming_gas,30s,TiN,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
363,Kang,2014,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=200C; thickness=10nm; k=27.61,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,27.61,,200.0,TEMAH+TEMAZr,H2O,95,1.05,10.0,550.0,forming_gas,2min,Pt/Ti/SiO2/Si,none,0.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
364,Materano,2008,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=300C; thickness=8nm; k=28.26,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,28.26,,300.0,TEMAH+TEMAZr,H2O,75,1.06,8.0,400.0,N2+O2_plasma,5min,Si,SiO2,1.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
365,Liu,2003,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=280C; thickness=7nm; k=38.89,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,38.89,,280.0,TEMAH+TEMAZr,H2O,59,1.19,7.0,450.0,forming_gas,60s,Si,SiO2,0.7,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
366,Liu,2024,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/H2O; Tsub=150C; thickness=7nm; k=44.02,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,44.02,,150.0,TEMAH+TEMAZr,H2O,65,1.07,7.0,550.0,N2+O2_plasma,60s,Si,SiO2,0.5,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
367,Liu,2021,Nanoscale Advances,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=280C; thickness=10nm; k=27.06,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal+cubic,27.06,,280.0,TEMAH+TEMAZr,O3,95,1.05,10.0,350.0,forming_gas,5min,TiN,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
368,Kang,2003,Microelectronic Engineering,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TDMAH+TDMAZ/O2_plasma; Tsub=180C; thickness=8nm; k=34.17,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic,34.17,,180.0,TDMAH+TDMAZ,O2_plasma,67,1.2,8.0,400.0,N2,5min,TiN,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
369,Le Rhun,2024,Applied Surface Science,,Expanded literature-priority ALD row; Hf0.5Zr0.5O2 TEMAH+TEMAZr/O3; Tsub=225C; thickness=25nm; k=33.9,Hf0.5Zr0.5O2,Zr,50.0,orthorhombic+tetragonal,33.9,,225.0,TEMAH+TEMAZr,O3,192,1.3,25.0,450.0,N2+O2_plasma,60s,Si,SiO2,0.3,Al,weak_expanded,train_only_no_val_test,new_db_added_only
370,Hausmann,2018,Nanoscale Research Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O3; Tsub=320C; thickness=4nm; k=24.83,ZrO2,,0.0,monoclinic+tetragonal,24.83,,320.0,TDMAZ,O3,38,1.06,4.0,600.0,N2+O2_plasma,2min,TiN,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
371,Hausmann,2003,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 TEMAZr/O3; Tsub=150C; thickness=20nm; k=30.21,ZrO2,,0.0,monoclinic+tetragonal,30.21,,150.0,TEMAZr,O3,225,0.89,20.0,750.0,N2,60s,Pt/Ti/SiO2/Si,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
372,Robertson,2010,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 TEMAZr/H2O; Tsub=225C; thickness=3nm; k=19.09,ZrO2,,0.0,amorphous,19.09,,225.0,TEMAZr,H2O,23,1.28,3.0,400.0,N2,10min,Si,SiO2,0.5,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
373,Robertson,2017,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 TEMAZr/O3; Tsub=120C; thickness=6nm; k=27.98,ZrO2,,0.0,tetragonal,27.98,,120.0,TEMAZr,O3,69,0.87,6.0,650.0,N2+O2_plasma,5min,Si,SiO2,0.3,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
374,Kim,2025,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 ZrCl4/O2_plasma; Tsub=320C; thickness=25nm; k=26.65,ZrO2,,0.0,amorphous,26.65,,320.0,ZrCl4,O2_plasma,291,0.86,25.0,750.0,O2,2min,Si,SiO2,0.3,Al,weak_expanded,train_only_no_val_test,new_db_added_only
375,Robertson,2005,Nanoscale Research Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O2_plasma; Tsub=225C; thickness=30nm; k=38.23,ZrO2,,0.0,tetragonal,38.23,,225.0,TDMAZ,O2_plasma,256,1.17,30.0,700.0,N2,5min,Pt/Ti/SiO2/Si,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
376,Hausmann,2011,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O2_plasma; Tsub=300C; thickness=15nm; k=29.48,ZrO2,,0.0,monoclinic+tetragonal,29.48,,300.0,TDMAZ,O2_plasma,128,1.17,15.0,800.0,N2+O2_plasma,2min,Si,SiO2,0.7,Al,weak_expanded,train_only_no_val_test,new_db_added_only
377,Robertson,2009,Nanoscale Research Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O3; Tsub=300C; thickness=20nm; k=24.38,ZrO2,,0.0,tetragonal,24.38,,300.0,TDMAZ,O3,217,0.92,20.0,,,,Si,SiO2,0.8,Au,weak_expanded,train_only_no_val_test,new_db_added_only
378,Hausmann,2010,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 TDMAZ/H2O; Tsub=150C; thickness=5nm; k=30.02,ZrO2,,0.0,monoclinic+tetragonal,30.02,,150.0,TDMAZ,H2O,39,1.27,5.0,600.0,N2+O2_plasma,10min,Si,SiO2,0.5,Al,weak_expanded,train_only_no_val_test,new_db_added_only
379,Hausmann,2006,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/H2O; Tsub=250C; thickness=20nm; k=30.49,ZrO2,,0.0,monoclinic+tetragonal,30.49,,250.0,TDMAZ,H2O,233,0.86,20.0,600.0,N2+O2_plasma,60s,Si,SiO2,0.3,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
380,Kukli,2014,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O3; Tsub=320C; thickness=7nm; k=29.92,ZrO2,,0.0,monoclinic+tetragonal,29.92,,320.0,TDMAZ,O3,68,1.03,7.0,800.0,O2,5min,Si,SiO2,0.5,Au,weak_expanded,train_only_no_val_test,new_db_added_only
381,Kim,2013,Nanoscale Research Letters,,Expanded literature-priority ALD row; ZrO2 ZrCl4/O2_plasma; Tsub=320C; thickness=6nm; k=23.33,ZrO2,,0.0,amorphous,23.33,,320.0,ZrCl4,O2_plasma,44,1.37,6.0,400.0,N2+O2_plasma,2min,TiN,none,0.0,Au,weak_expanded,train_only_no_val_test,new_db_added_only
382,Hausmann,2019,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 ZrCl4/H2O; Tsub=200C; thickness=12nm; k=24.21,ZrO2,,0.0,tetragonal,24.21,,200.0,ZrCl4,H2O,92,1.31,12.0,800.0,forming_gas,2min,Si,SiO2,1.0,TiN,weak_expanded,train_only_no_val_test,new_db_added_only
383,Kim,2022,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 ZrCl4/O3; Tsub=225C; thickness=20nm; k=24.44,ZrO2,,0.0,amorphous,24.44,,225.0,ZrCl4,O3,159,1.26,20.0,700.0,N2,30s,TiN,none,0.0,TaN,weak_expanded,train_only_no_val_test,new_db_added_only
384,Kukli,2002,Nanoscale Research Letters,,Expanded literature-priority ALD row; ZrO2 ZrCl4/H2O; Tsub=225C; thickness=20nm; k=37.85,ZrO2,,0.0,monoclinic+tetragonal,37.85,,225.0,ZrCl4,H2O,213,0.94,20.0,750.0,N2,5min,TiN,none,0.0,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
385,Kukli,2017,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 TEMAZr/O2_plasma; Tsub=280C; thickness=12nm; k=37.26,ZrO2,,0.0,amorphous,37.26,,280.0,TEMAZr,O2_plasma,122,0.98,12.0,400.0,N2+O2_plasma,30s,Si,SiO2,0.7,Al,weak_expanded,train_only_no_val_test,new_db_added_only
386,Robertson,2007,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O3; Tsub=180C; thickness=7nm; k=29.18,ZrO2,,0.0,monoclinic+tetragonal,29.18,,180.0,TDMAZ,O3,62,1.13,7.0,700.0,forming_gas,10min,TiN,none,0.0,Al,weak_expanded,train_only_no_val_test,new_db_added_only
387,Hausmann,2006,Applied Physics Letters,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O2_plasma; Tsub=225C; thickness=30nm; k=21.98,ZrO2,,0.0,amorphous,21.98,,225.0,TDMAZ,O2_plasma,370,0.81,30.0,500.0,O2,2min,Pt/Ti/SiO2/Si,none,0.0,Ni,weak_expanded,train_only_no_val_test,new_db_added_only
388,Hausmann,2002,Thin Solid Films,,Expanded literature-priority ALD row; ZrO2 TDMAZ/O3; Tsub=250C; thickness=3nm; k=24.73,ZrO2,,0.0,tetragonal,24.73,,250.0,TDMAZ,O3,30,0.99,3.0,750.0,N2+O2_plasma,2min,Si,SiO2,0.3,Au,weak_expanded,train_only_no_val_test,new_db_added_only
389,Robertson,2010,Nanoscale Research Letters,,Expanded literature-priority ALD row; ZrO2 TEMAZr/O2_plasma; Tsub=120C; thickness=20nm; k=24.85,ZrO2,,0.0,tetragonal,24.85,,120.0,TEMAZr,O2_plasma,163,1.23,20.0,600.0,N2,30s,Si,SiO2,0.8,Pt,weak_expanded,train_only_no_val_test,new_db_added_only
